CNTRYID,CNTSCHID,STUBEHA,SCMCEG,TEACHBEHA,W_FSTUWT_SCH_SUM
36,3600122,0.6482,0.9042,-0.1662,90.86354
36,3600123,-3.3785,0.1571,-2.0409,633.62998
36,3600124,-0.335,-0.1764,0.2266,309.11272
36,3600125,-3.3785,0.287,-2.0409,602.90625
36,3600126,,,,366.40813
36,3600128,-0.5078,-1.0542,-0.3913,512.35645
36,3600129,-1.1232,0.1571,0.2266,31.18192
36,3600131,0.6764,-0.4859,1.2766,507.5589
36,3600132,,,,479.02747
36,3600133,0.6342,-1.8528,1.6299,137.809
36,3600134,1.4126,0.9042,1.6299,445.60407
36,3600135,-0.335,0.9042,-1.2356,314.98679
36,3600136,-0.335,0.9042,0.9355,112.65295
36,3600137,-0.0384,0.9042,0.2266,372.30836
36,3600138,0.6405,-0.1764,0.6015,163.098
36,3600139,,,,19.77193
36,3600140,0.1795,0.9042,0.9355,664.23681
36,3600141,-0.335,0.287,-0.4289,548.35065
36,3600142,-0.335,0.287,-2.0409,178.37162
36,3600143,0.4147,0.9042,1.4533,157.18691
36,3600144,0.8153,-1.0542,0.9355,162.2134
36,3600145,,,,273.6189
36,3600146,-0.3925,0.9042,-0.1274,301.02512
36,3600147,0.735,-1.0542,0.9355,391.41401
36,3600148,,,,520.91868
36,3600149,-0.9505,0.9042,0.2397,330.67239
36,3600150,-1.9476,0.9042,0.2266,513.8501
36,3600151,0.1795,0.9042,-0.0939,14.98957
36,3600152,0.4201,-1.0542,1.9039,414.99276
36,3600153,0.2913,0.1571,-1.2356,83.87968
36,3600154,,,,499.97166
36,3600155,-1.5397,-0.4859,-0.8166,464.9207
36,3600156,,,,562.85643
36,3600157,0.2913,-0.1764,1.1337,100.47234
36,3600158,,,,311.6782
36,3600159,0.4781,0.3009,1.4078,169.22391
36,3600160,-0.4097,-0.1661,0.6101,345.62551
36,3600161,0.1795,0.1571,0.2266,481.5511
36,3600162,0.746,0.9042,0.8952,328.43214
36,3600163,1.3778,0.9042,1.1913,98.20542
36,3600164,-1.1401,0.9042,0.6101,520.3751
36,3600165,1.0522,0.8043,-0.1274,187.79793
36,3600166,0.1795,0.9042,0.9355,516.05566
36,3600167,1.0207,0.9042,-0.3786,247.67682
36,3600168,-0.3925,-0.1661,-0.0452,148.73288
36,3600169,-0.0384,0.9042,0.6101,393.25375
36,3600170,1.4616,0.1571,1.2115,277.4201
36,3600171,-3.3785,-0.1868,0.4004,609.09833
36,3600172,0.6482,0.9042,0.2266,227.61714
36,3600173,1.0522,0.9042,0.8952,399.32606
36,3600174,0.1795,0.9042,0.9355,412.1243
36,3600175,-0.0384,-1.0542,0.2266,288.44076
36,3600176,,,,66.252
36,3600177,1.0522,0.9042,0.3498,429.70765
36,3600178,-1.4335,-0.6385,0.2266,414.64585
36,3600179,1.7012,-1.5648,1.7102,184.13992
36,3600180,0.1795,0.9042,-0.4383,98.05186
36,3600181,1.2343,-1.8443,1.3992,345.27361
36,3600182,0.4781,0.9042,0.2266,113.39089
36,3600183,-0.0384,0.9042,0.6101,716.55374
36,3600184,0.776,0.9042,-0.1662,481.4547
36,3600185,-0.4684,0.9042,-0.7866,213.2916
36,3600186,-1.5397,0.9042,-0.7733,555.03297
36,3600187,-0.335,0.9042,0.2266,484.51484
36,3600188,-3.3785,0.9042,-1.2225,148.71956
36,3600189,1.0522,-1.0542,-0.1241,255.40314
36,3600190,1.4126,0.9042,0.9355,129.4781
36,3600191,0.5157,0.9042,-0.1241,456.50834
36,3600192,-0.335,-0.6385,0.5642,392.5877
36,3600194,1.2343,0.9042,0.8952,498.52437
36,3600195,-0.0384,0.9042,-0.3913,445.99593
36,3600196,1.0522,0.9042,1.1822,96.69437
36,3600197,0.1795,-0.1764,0.9355,366.54406
36,3600198,0.8988,0.9042,-0.0452,347.0189
36,3600199,1.0522,-1.2301,-0.4289,414.62625
